model,val_dataset,method,mean,std
CLAM,Cohort 1,concat,0.793625,0.025527649316567112
CLAM,Cohort 1,linear,0.8106666666666668,0.03641549070056536
CLAM,Cohort 1,lse,0.7757083333333333,0.019260088345758406
CLAM,Cohort 1,max,0.7825833333333334,0.0189661410458965
CLAM,Cohort 1,mean,0.7784166666666666,0.020064325567878606
CLAM,Cohort 1,min,0.78975,0.03207293001124425
CLAM,Cohort 1,mul,0.8157916666666667,0.02868884397319834
CLAM,Cohort 1,x10,0.8025833333333333,0.019879847417254806
CLAM,Cohort 1,x20,0.7912916666666667,0.017299836311935258
CLAM,TransNEO,concat,0.594967741935484,0.028675405422951834
CLAM,TransNEO,linear,0.6292580645161291,0.0270905010659742
CLAM,TransNEO,lse,0.652258064516129,0.026106565853598693
CLAM,TransNEO,max,0.6684354838709677,0.03353115510710167
CLAM,TransNEO,mean,0.6405000000000001,0.027541311112261938
CLAM,TransNEO,min,0.6421129032258064,0.022238245032906737
CLAM,TransNEO,mul,0.6410483870967741,0.03484403998118847
CLAM,TransNEO,x10,0.5789516129032258,0.023355775590626453
CLAM,TransNEO,x20,0.6799838709677419,0.021800455422555393
CLAM-Late,Cohort 1,concat,0.7947083333333333,0.029793560545862945
CLAM-Late,Cohort 1,linear,0.8088333333333333,0.018373063012041474
CLAM-Late,Cohort 1,lse,0.8172083333333333,0.024224905878347937
CLAM-Late,Cohort 1,max,0.8185833333333333,0.017556346676970525
CLAM-Late,Cohort 1,mean,0.8022500000000001,0.02931259789001526
CLAM-Late,Cohort 1,min,0.8035,0.03673194945971573
CLAM-Late,Cohort 1,mul,0.8139583333333332,0.045497613049586196
CLAM-Late,Cohort 1,x10,0.8017083333333334,0.01985717715507172
CLAM-Late,Cohort 1,x20,0.7914166666666667,0.017638560801848134
CLAM-Late,TransNEO,concat,0.6323064516129032,0.026510561337169763
CLAM-Late,TransNEO,linear,0.623258064516129,0.01432950525234449
CLAM-Late,TransNEO,lse,0.6291290322580645,0.02386251424471685
CLAM-Late,TransNEO,max,0.6315483870967742,0.016048220492281946
CLAM-Late,TransNEO,mean,0.6384354838709678,0.023086631250367848
CLAM-Late,TransNEO,min,0.6590806451612903,0.019080651978293464
CLAM-Late,TransNEO,mul,0.6295,0.028212177969428435
CLAM-Late,TransNEO,x10,0.5806451612903226,0.0233807308107651
CLAM-Late,TransNEO,x20,0.6797741935483871,0.021998407535465538
CSMIL,Cohort 1,concat,0.689375,0.0617352127793659
CSMIL,Cohort 1,linear,0.76075,0.040902624504523206
CSMIL,Cohort 1,lse,0.702875,0.006636069833832846
CSMIL,Cohort 1,max,0.703125,0.005777677616653167
CSMIL,Cohort 1,mean,0.69425,0.026228900985622295
CSMIL,Cohort 1,min,0.6700416666666666,0.04408073838893332
CSMIL,Cohort 1,mul,0.671625,0.021853229907897044
CSMIL,Cohort 1,x10,0.692625,0.03593764425628587
CSMIL,Cohort 1,x20,0.7004583333333333,0.004872803398759581
CSMIL,TransNEO,concat,0.6654677419354839,0.0238978887719357
CSMIL,TransNEO,linear,0.6846935483870967,0.008838307423544217
CSMIL,TransNEO,lse,0.6789838709677418,0.005513859601489487
CSMIL,TransNEO,max,0.6806612903225806,0.005130649414814491
CSMIL,TransNEO,mean,0.6764838709677419,0.007195790190244521
CSMIL,TransNEO,min,0.6767983870967742,0.01614363362377861
CSMIL,TransNEO,mul,0.6568709677419354,0.016984516831555396
CSMIL,TransNEO,x10,0.6509919354838709,0.01779188350418328
CSMIL,TransNEO,x20,0.698983870967742,0.004490486597342325
DSMIL,Cohort 1,concat,0.676625,0.02512503454945108
DSMIL,Cohort 1,linear,0.7592083333333333,0.051056148739148724
DSMIL,Cohort 1,lse,0.6905,0.017562498627037428
DSMIL,Cohort 1,max,0.6860833333333334,0.016964014199999263
DSMIL,Cohort 1,mean,0.7037083333333334,0.020451548056351007
DSMIL,Cohort 1,min,0.6987916666666667,0.010841254226789327
DSMIL,Cohort 1,mul,0.698125,0.014131560532595832
DSMIL,Cohort 1,x10,0.6927916666666667,0.019397811143541287
DSMIL,Cohort 1,x20,0.6718333333333334,0.022250156054384084
DSMIL,TransNEO,concat,0.6742903225806451,0.019192147775769244
DSMIL,TransNEO,linear,0.6738064516129032,0.024307878008725584
DSMIL,TransNEO,lse,0.6834999999999999,0.004892207247886443
DSMIL,TransNEO,max,0.687,0.006232015400783412
DSMIL,TransNEO,mean,0.6837741935483871,0.005836342814193729
DSMIL,TransNEO,min,0.669725806451613,0.006610083322181903
DSMIL,TransNEO,mul,0.6367419354838709,0.0178401971030114
DSMIL,TransNEO,x10,0.6492258064516129,0.005342798572770725
DSMIL,TransNEO,x20,0.7213870967741935,0.0045734963651671194
DTFD,Cohort 1,concat,0.718875,0.023420842846269007
DTFD,Cohort 1,linear,0.7679166666666667,0.03395996644562031
DTFD,Cohort 1,lse,0.697375,0.01043988153875367
DTFD,Cohort 1,max,0.6985416666666667,0.011844299170466218
DTFD,Cohort 1,mean,0.6992083333333334,0.008976241789672771
DTFD,Cohort 1,min,0.7095416666666667,0.00894610491833605
DTFD,Cohort 1,mul,0.6884166666666667,0.025978386077850864
DTFD,Cohort 1,x10,0.7160416666666667,0.009963765371101939
DTFD,Cohort 1,x20,0.707875,0.01156444970215097
DTFD,TransNEO,concat,0.6933225806451613,0.005758062006163963
DTFD,TransNEO,linear,0.6850483870967742,0.015484066979046104
DTFD,TransNEO,lse,0.6873225806451614,0.005425687544245763
DTFD,TransNEO,max,0.6900483870967742,0.004582241379715035
DTFD,TransNEO,mean,0.685741935483871,0.004462171261476602
DTFD,TransNEO,min,0.6806935483870967,0.004105816510421583
DTFD,TransNEO,mul,0.6458387096774193,0.0057943920963676
DTFD,TransNEO,x10,0.6572258064516129,0.00353434824657078
DTFD,TransNEO,x20,0.716,0.0058952783527399105
MAMIL,Cohort 1,concat,0.757375,0.03200781757325026
MAMIL,Cohort 1,linear,0.76625,0.0429007072087669
MAMIL,Cohort 1,lse,0.7386250000000001,0.020684701285828395
MAMIL,Cohort 1,max,0.7394583333333333,0.021447475678106342
MAMIL,Cohort 1,mean,0.7409583333333333,0.017953826666627606
MAMIL,Cohort 1,min,0.7424583333333333,0.019546803991862628
MAMIL,Cohort 1,mul,0.7391249999999999,0.031878827535869764
MAMIL,Cohort 1,x10,0.7465416666666667,0.023392822643592364
MAMIL,Cohort 1,x20,0.7399166666666667,0.014261393539167631
