,model,val_dataset,method,mean
0,MMIL,TransNEO,concat,1
1,DTFD,Cohort 1,concat,2
2,DTFD,TransNEO,concat,2
3,MAMIL,Cohort 1,concat,2
4,MAMIL,TransNEO,concat,2
5,MINET-DS,Cohort 1,concat,2
6,MINET-DS,TransNEO,concat,2
7,TransMIL,TransNEO,concat,2
8,MMIL,Cohort 1,concat,3
9,CLAM,Cohort 1,concat,4
10,CLAM-Late,TransNEO,concat,4
11,TransMIL,Cohort 1,concat,4
12,DSMIL,TransNEO,concat,5
13,CSMIL,Cohort 1,concat,7
14,CSMIL,TransNEO,concat,7
15,CLAM,TransNEO,concat,8
16,CLAM-Late,Cohort 1,concat,8
17,DSMIL,Cohort 1,concat,8
18,DSMIL,Cohort 1,mean,2
19,CLAM-Late,TransNEO,mean,3
20,DSMIL,TransNEO,mean,3
21,MINET-DS,TransNEO,mean,4
22,CSMIL,Cohort 1,mean,5
23,DTFD,TransNEO,mean,5
24,MAMIL,Cohort 1,mean,5
25,MINET-DS,Cohort 1,mean,5
26,TransMIL,TransNEO,mean,5
27,CLAM,TransNEO,mean,6
28,CLAM-Late,Cohort 1,mean,6
29,CSMIL,TransNEO,mean,6
30,DTFD,Cohort 1,mean,6
31,MAMIL,TransNEO,mean,6
32,MMIL,Cohort 1,mean,7
33,MMIL,TransNEO,mean,7
34,TransMIL,Cohort 1,mean,7
35,CLAM,Cohort 1,mean,8
36,CLAM,Cohort 1,mul,1
37,CLAM-Late,Cohort 1,mul,3
38,DSMIL,Cohort 1,mul,4
39,MMIL,TransNEO,mul,4
40,CLAM,TransNEO,mul,5
41,CLAM-Late,TransNEO,mul,6
42,CSMIL,Cohort 1,mul,8
43,CSMIL,TransNEO,mul,8
44,MAMIL,Cohort 1,mul,8
45,MAMIL,TransNEO,mul,8
46,DSMIL,TransNEO,mul,9
47,DTFD,Cohort 1,mul,9
48,DTFD,TransNEO,mul,9
49,MINET-DS,Cohort 1,mul,9
50,MINET-DS,TransNEO,mul,9
51,MMIL,Cohort 1,mul,9
52,TransMIL,Cohort 1,mul,9
53,TransMIL,TransNEO,mul,9
54,CLAM,TransNEO,x20,1
55,CLAM-Late,TransNEO,x20,1
56,CSMIL,TransNEO,x20,1
57,DSMIL,TransNEO,x20,1
58,DTFD,TransNEO,x20,1
59,MAMIL,TransNEO,x20,1
60,MINET-DS,TransNEO,x20,1
61,TransMIL,TransNEO,x20,1
62,MINET-DS,Cohort 1,x20,3
63,MMIL,TransNEO,x20,3
64,CSMIL,Cohort 1,x20,4
65,CLAM,Cohort 1,x20,5
66,DTFD,Cohort 1,x20,5
67,MAMIL,Cohort 1,x20,6
68,MMIL,Cohort 1,x20,8
69,TransMIL,Cohort 1,x20,8
70,CLAM-Late,Cohort 1,x20,9
71,DSMIL,Cohort 1,x20,9
72,CSMIL,Cohort 1,linear,1
73,DSMIL,Cohort 1,linear,1
74,DTFD,Cohort 1,linear,1
75,MAMIL,Cohort 1,linear,1
76,MINET-DS,Cohort 1,linear,1
77,TransMIL,Cohort 1,linear,1
78,CLAM,Cohort 1,linear,2
79,CSMIL,TransNEO,linear,2
80,MMIL,TransNEO,linear,2
81,CLAM-Late,Cohort 1,linear,4
82,MAMIL,TransNEO,linear,5
83,MMIL,Cohort 1,linear,5
84,DSMIL,TransNEO,linear,6
85,DTFD,TransNEO,linear,6
86,MINET-DS,TransNEO,linear,6
87,TransMIL,TransNEO,linear,6
88,CLAM,TransNEO,linear,7
89,CLAM-Late,TransNEO,linear,8
90,CLAM-Late,Cohort 1,lse,2
91,CLAM,TransNEO,lse,3
92,CSMIL,Cohort 1,lse,3
93,MINET-DS,TransNEO,lse,3
94,TransMIL,TransNEO,lse,3
95,CSMIL,TransNEO,lse,4
96,DSMIL,TransNEO,lse,4
97,DTFD,TransNEO,lse,4
98,MAMIL,TransNEO,lse,4
99,MMIL,Cohort 1,lse,4
100,DSMIL,Cohort 1,lse,6
101,MINET-DS,Cohort 1,lse,6
102,MMIL,TransNEO,lse,6
103,TransMIL,Cohort 1,lse,6
104,CLAM-Late,TransNEO,lse,7
105,DTFD,Cohort 1,lse,8
106,CLAM,Cohort 1,lse,9
107,MAMIL,Cohort 1,lse,9
108,CLAM-Late,Cohort 1,max,1
109,CLAM,TransNEO,max,2
110,CSMIL,Cohort 1,max,2
111,DSMIL,TransNEO,max,2
112,MMIL,Cohort 1,max,2
113,CSMIL,TransNEO,max,3
114,DTFD,TransNEO,max,3
115,MAMIL,TransNEO,max,3
116,TransMIL,TransNEO,max,4
117,CLAM-Late,TransNEO,max,5
118,MMIL,TransNEO,max,5
119,TransMIL,Cohort 1,max,5
120,CLAM,Cohort 1,max,7
121,DSMIL,Cohort 1,max,7
122,DTFD,Cohort 1,max,7
123,MAMIL,Cohort 1,max,7
124,MINET-DS,TransNEO,max,7
125,MINET-DS,Cohort 1,max,8
126,MMIL,Cohort 1,x10,1
127,CLAM,Cohort 1,x10,3
128,DTFD,Cohort 1,x10,3
129,MAMIL,Cohort 1,x10,3
130,TransMIL,Cohort 1,x10,3
131,MINET-DS,Cohort 1,x10,4
132,DSMIL,Cohort 1,x10,5
133,CSMIL,Cohort 1,x10,6
134,CLAM-Late,Cohort 1,x10,7
135,DSMIL,TransNEO,x10,8
136,DTFD,TransNEO,x10,8
137,MINET-DS,TransNEO,x10,8
138,TransMIL,TransNEO,x10,8
139,CLAM,TransNEO,x10,9
140,CLAM-Late,TransNEO,x10,9
141,CSMIL,TransNEO,x10,9
142,MAMIL,TransNEO,x10,9
143,MMIL,TransNEO,x10,9
144,CLAM-Late,TransNEO,min,2
145,TransMIL,Cohort 1,min,2
146,DSMIL,Cohort 1,min,3
147,CLAM,TransNEO,min,4
148,DTFD,Cohort 1,min,4
149,MAMIL,Cohort 1,min,4
150,CLAM-Late,Cohort 1,min,5
151,CSMIL,TransNEO,min,5
152,MINET-DS,TransNEO,min,5
153,CLAM,Cohort 1,min,6
154,MMIL,Cohort 1,min,6
155,DSMIL,TransNEO,min,7
156,DTFD,TransNEO,min,7
157,MAMIL,TransNEO,min,7
158,MINET-DS,Cohort 1,min,7
159,TransMIL,TransNEO,min,7
160,MMIL,TransNEO,min,8
161,CSMIL,Cohort 1,min,9
