model,val_dataset,method,mean
clam,cohort_1,min,0.8480416666666667
clam,transneo,x10,0.709274193548387
csmil,cohort_1,mul,0.758875
csmil,transneo,x10,0.6816612903225806
dsmil,cohort_1,max,0.7659166666666667
dsmil,transneo,x10,0.7073709677419355
dtfd,cohort_1,concat,0.7675
dtfd,transneo,x10,0.7029516129032258
mamil,cohort_1,concat,0.7711250000000001
mamil,transneo,x10,0.7057258064516129
minet_ds,cohort_1,concat,0.8520416666666668
minet_ds,transneo,concat,0.6708064516129032
mmil,cohort_1,concat,0.78025
mmil,transneo,mul,0.7018225806451612
transmil,cohort_1,concat,0.7532916666666667
transmil,transneo,x10,0.7104838709677419
