model,val_dataset,method,mean,std
clam,cohort_1,concat,0.8311249999999999,0.0379662628421277
clam,cohort_1,lse,0.8129166666666666,0.0318815806569433
clam,cohort_1,max,0.8161249999999999,0.0324845939268539
clam,cohort_1,mean,0.8229166666666666,0.03357263638114
clam,cohort_1,min,0.8480416666666667,0.0320878724542774
clam,cohort_1,mul,0.835375,0.0338116435219336
clam,cohort_1,target,0.7930416666666666,0.0388725412068279
clam,cohort_1,x10,0.78575,0.0312835005619161
clam,transneo,concat,0.6962419354838709,0.0119652467232346
clam,transneo,lse,0.6863064516129033,0.0072969686140113
clam,transneo,max,0.6922741935483872,0.0063474795006443
clam,transneo,mean,0.6704677419354839,0.0087403052349155
clam,transneo,min,0.6756290322580645,0.0131882608082788
clam,transneo,mul,0.6645483870967742,0.0355891075506479
clam,transneo,target,0.6741451612903225,0.0170703877669232
clam,transneo,x10,0.709274193548387,0.006783680845825
csmil,cohort_1,concat,0.7526666666666667,0.0109892624360731
csmil,cohort_1,lse,0.7461666666666666,0.0130906738077434
csmil,cohort_1,max,0.7434166666666666,0.014412089832267
csmil,cohort_1,mean,0.7474583333333333,0.0131724231438821
csmil,cohort_1,min,0.7468333333333332,0.0079183721359854
csmil,cohort_1,mul,0.758875,0.0361218199933174
csmil,cohort_1,target,0.7407916666666667,0.0137737589344806
csmil,cohort_1,x10,0.7495,0.0072350313760443
csmil,transneo,concat,0.6558306451612903,0.0342563425999429
csmil,transneo,lse,0.6636693548387098,0.0269332637571521
csmil,transneo,max,0.6668064516129033,0.0205813305354356
csmil,transneo,mean,0.6641129032258064,0.0295867254141231
csmil,transneo,min,0.663483870967742,0.0410204977398475
csmil,transneo,mul,0.5587903225806452,0.0705919608687797
csmil,transneo,target,0.647241935483871,0.0444630774474615
csmil,transneo,x10,0.6816612903225806,0.0195010976208303
dsmil,cohort_1,concat,0.7504583333333332,0.0251971011094726
dsmil,cohort_1,lse,0.75325,0.0223734438040799
dsmil,cohort_1,max,0.7659166666666667,0.0207245307025154
dsmil,cohort_1,mean,0.7514583333333333,0.0216250044601436
dsmil,cohort_1,min,0.732125,0.0204572065390834
dsmil,cohort_1,mul,0.7302083333333333,0.0082828330946647
dsmil,cohort_1,target,0.7588333333333332,0.0282349872706335
dsmil,cohort_1,x10,0.7352916666666667,0.0160764113870732
dsmil,transneo,concat,0.6858387096774193,0.0152361835119617
dsmil,transneo,lse,0.6974838709677419,0.0139985794499225
dsmil,transneo,max,0.6984838709677419,0.0153368543213412
dsmil,transneo,mean,0.6921612903225807,0.0163430602394569
dsmil,transneo,min,0.6966774193548387,0.0142567832181867
dsmil,transneo,mul,0.6523387096774194,0.0085361209080731
dsmil,transneo,target,0.6913387096774193,0.0124418058023002
dsmil,transneo,x10,0.7073709677419355,0.0115952299807859
dtfd,cohort_1,concat,0.7675,0.0424045769716919
dtfd,cohort_1,lse,0.7262083333333333,0.0143915296804477
dtfd,cohort_1,max,0.7282916666666667,0.014183609149949
dtfd,cohort_1,mean,0.7259166666666668,0.014245152955165
dtfd,cohort_1,min,0.7259583333333334,0.0159523427011308
dtfd,cohort_1,mul,0.7587083333333333,0.0138185022012669
dtfd,cohort_1,target,0.7273750000000001,0.0134901798988635
dtfd,cohort_1,x10,0.7271666666666666,0.0132881177777017
dtfd,transneo,concat,0.6851935483870968,0.0129101236043185
dtfd,transneo,lse,0.6913870967741935,0.0073422831899825
dtfd,transneo,max,0.690274193548387,0.0077026519781708
dtfd,transneo,mean,0.6915806451612904,0.0070357427819948
dtfd,transneo,min,0.6921935483870968,0.0067691566869355
dtfd,transneo,mul,0.6176129032258064,0.0409730191617037
dtfd,transneo,target,0.6756451612903225,0.0075876959507877
dtfd,transneo,x10,0.7029516129032258,0.0067043032309798
mamil,cohort_1,concat,0.7711250000000001,0.0500613242760476
mamil,cohort_1,lse,0.7219166666666667,0.0460006206345678
mamil,cohort_1,max,0.7216666666666667,0.0462760603923032
