,model,val_dataset,method,mean
0,DTFD,Cohort 1,concat,1
1,MAMIL,Cohort 1,concat,1
2,MINET-DS,TransNEO,concat,1
3,MMIL,Cohort 1,concat,1
4,CLAM,TransNEO,concat,2
5,MINET-DS,Cohort 1,concat,2
6,TransMIL,Cohort 1,concat,2
7,CSMIL,Cohort 1,concat,3
8,CLAM,Cohort 1,concat,4
9,CLAM-Late,Cohort 1,concat,4
10,CLAM-Late,TransNEO,concat,4
11,CSMIL,TransNEO,concat,6
12,DSMIL,Cohort 1,concat,6
13,DTFD,TransNEO,concat,6
14,DSMIL,TransNEO,concat,8
15,MAMIL,TransNEO,concat,8
16,TransMIL,TransNEO,concat,8
17,MMIL,TransNEO,concat,9
18,CSMIL,TransNEO,mean,3
19,DTFD,TransNEO,mean,3
20,MAMIL,TransNEO,mean,3
21,TransMIL,TransNEO,mean,3
22,MINET-DS,Cohort 1,mean,4
23,CLAM,Cohort 1,mean,5
24,CSMIL,Cohort 1,mean,5
25,DSMIL,Cohort 1,mean,5
26,DSMIL,TransNEO,mean,5
27,MMIL,Cohort 1,mean,5
28,MMIL,TransNEO,mean,5
29,CLAM-Late,Cohort 1,mean,6
30,MINET-DS,TransNEO,mean,6
31,CLAM-Late,TransNEO,mean,7
32,MAMIL,Cohort 1,mean,7
33,CLAM,TransNEO,mean,8
34,DTFD,Cohort 1,mean,9
35,TransMIL,Cohort 1,mean,9
36,MMIL,TransNEO,mul,1
37,CLAM-Late,Cohort 1,mul,2
38,CSMIL,Cohort 1,mul,2
39,MINET-DS,TransNEO,mul,2
40,MMIL,Cohort 1,mul,2
41,CLAM,Cohort 1,mul,3
42,CLAM-Late,TransNEO,mul,3
43,DTFD,Cohort 1,mul,3
44,MAMIL,Cohort 1,mul,3
45,TransMIL,Cohort 1,mul,4
46,MAMIL,TransNEO,mul,6
47,CLAM,TransNEO,mul,9
48,CSMIL,TransNEO,mul,9
49,DSMIL,Cohort 1,mul,9
50,DSMIL,TransNEO,mul,9
51,DTFD,TransNEO,mul,9
52,MINET-DS,Cohort 1,mul,9
53,TransMIL,TransNEO,mul,9
54,DSMIL,Cohort 1,x20,2
55,MINET-DS,Cohort 1,x20,3
56,DTFD,Cohort 1,x20,5
57,TransMIL,Cohort 1,x20,5
58,DSMIL,TransNEO,x20,6
59,MAMIL,Cohort 1,x20,6
60,MMIL,TransNEO,x20,6
61,TransMIL,TransNEO,x20,6
62,CLAM,TransNEO,x20,7
63,MAMIL,TransNEO,x20,7
64,CLAM,Cohort 1,x20,8
65,CLAM-Late,Cohort 1,x20,8
66,CSMIL,TransNEO,x20,8
67,DTFD,TransNEO,x20,8
68,CLAM-Late,TransNEO,x20,9
69,CSMIL,Cohort 1,x20,9
70,MINET-DS,TransNEO,x20,9
71,MMIL,Cohort 1,x20,9
72,CLAM,Cohort 1,linear,1
73,CLAM-Late,Cohort 1,linear,1
74,CSMIL,Cohort 1,linear,1
75,MINET-DS,Cohort 1,linear,1
76,TransMIL,Cohort 1,linear,1
77,DTFD,Cohort 1,linear,2
78,MAMIL,Cohort 1,linear,2
79,DSMIL,Cohort 1,linear,3
80,MINET-DS,TransNEO,linear,3
81,CLAM,TransNEO,linear,4
82,MMIL,Cohort 1,linear,4
83,CSMIL,TransNEO,linear,7
84,DSMIL,TransNEO,linear,7
85,DTFD,TransNEO,linear,7
86,MMIL,TransNEO,linear,7
87,TransMIL,TransNEO,linear,7
88,CLAM-Late,TransNEO,linear,8
89,MAMIL,TransNEO,linear,9
90,TransMIL,TransNEO,lse,2
91,DSMIL,TransNEO,lse,3
92,MMIL,TransNEO,lse,3
93,CLAM,TransNEO,lse,4
94,CSMIL,TransNEO,lse,4
