model,val_dataset,method,mean,std
clam,transneo,concat,0.7184313725490196,0.017615561336390095
clam,transneo,linear,0.7607843137254902,0.016637806616154112
clam,transneo,lse,0.7725490196078432,0.021873464745988884
clam,transneo,max,0.7396078431372549,0.019841742181448647
clam,transneo,mean,0.7937254901960784,0.013981429497642764
clam,transneo,min,0.7721568627450981,0.012185643070767532
clam,transneo,mul,0.7737254901960784,0.018857087008484485
clam,transneo,x10,0.7047058823529412,0.04724183729939076
clam,transneo,x20,0.7250980392156863,0.06778379663306391
clam_late,transneo,concat,0.7631372549019607,0.015041202471783022
clam_late,transneo,linear,0.803921568627451,0.020502466851448527
clam_late,transneo,lse,0.7678431372549019,0.008431119213907006
clam_late,transneo,max,0.7466666666666667,0.05053264074603744
clam_late,transneo,mean,0.7741176470588236,0.007886589871371679
clam_late,transneo,min,0.8003921568627451,0.01246294006436916
clam_late,transneo,mul,0.8274509803921568,0.010125446656751417
clam_late,transneo,x10,0.7011764705882353,0.04952851304217945
clam_late,transneo,x20,0.7278431372549019,0.05521850854343937
csmil,transneo,concat,0.6219607843137255,0.1433647876695776
csmil,transneo,linear,0.8113725490196078,0.011757441475434702
csmil,transneo,lse,0.5752941176470588,0.15407157255040035
csmil,transneo,max,0.6125490196078431,0.15564670257637064
csmil,transneo,mean,0.5384313725490196,0.1414189396870165
csmil,transneo,min,0.49294117647058827,0.13505298836835125
csmil,transneo,mul,0.5898039215686275,0.02941612168164228
csmil,transneo,x10,0.5015686274509804,0.1331210664576741
csmil,transneo,x20,0.552156862745098,0.12859450133265146
dsmil,transneo,concat,0.7756862745098039,0.05691305715000304
dsmil,transneo,linear,0.8074509803921568,0.012734200133811808
dsmil,transneo,lse,0.78,0.019428372552668473
dsmil,transneo,max,0.7909803921568628,0.03507801183697014
dsmil,transneo,mean,0.7780392156862745,0.026802167595010327
dsmil,transneo,min,0.7882352941176471,0.023601921680088622
dsmil,transneo,mul,0.8070588235294117,0.04120447227157239
dsmil,transneo,x10,0.7815686274509803,0.03093651231858625
dsmil,transneo,x20,0.7780392156862745,0.012009081388607443
dtfd,transneo,concat,0.8007843137254902,0.009570198806652578
dtfd,transneo,linear,0.7960784313725491,0.02410338420207291
dtfd,transneo,lse,0.7541176470588236,0.02241744315134352
dtfd,transneo,max,0.7529411764705882,0.024385304713957688
dtfd,transneo,mean,0.7576470588235293,0.021061578103134974
dtfd,transneo,min,0.7619607843137255,0.022187593164736136
dtfd,transneo,mul,0.432156862745098,0.037055999246853884
dtfd,transneo,x10,0.76,0.023000593409592443
dtfd,transneo,x20,0.756078431372549,0.023222397899296685
mamil,transneo,concat,0.8050980392156862,0.011403309013105559
mamil,transneo,linear,0.7835294117647058,0.022091116522120355
mamil,transneo,lse,0.8086274509803921,0.016410305700889097
mamil,transneo,max,0.7933333333333333,0.017832480238206494
mamil,transneo,mean,0.8054901960784313,0.02117485671248789
mamil,transneo,min,0.8098039215686275,0.022048533063311088
mamil,transneo,mul,0.6623529411764706,0.08614468346309741
mamil,transneo,x10,0.808235294117647,0.02119502132682071
mamil,transneo,x20,0.7945098039215687,0.018597039732056213
minet_ds,transneo,concat,0.6788235294117647,0.08385292328214985
minet_ds,transneo,linear,0.7043137254901961,0.02354393161290339
minet_ds,transneo,lse,0.6415686274509804,0.08364378925367112
minet_ds,transneo,max,0.6615686274509803,0.099347265218156
minet_ds,transneo,mean,0.6403921568627451,0.07773217754813302
minet_ds,transneo,min,0.6149019607843137,0.06669997886164873
minet_ds,transneo,mul,0.572156862745098,0.03241461079570238
minet_ds,transneo,x10,0.6494117647058824,0.05632151711167191
minet_ds,transneo,x20,0.6372549019607843,0.07365059005318421
mmil,transneo,concat,0.7835294117647059,0.060775176767771145
mmil,transneo,linear,0.7968627450980392,0.03092270075831102
mmil,transneo,lse,0.7964705882352942,0.033554310468789664
mmil,transneo,max,0.7984313725490196,0.0329245730539737
mmil,transneo,mean,0.7937254901960784,0.032506731591884046
mmil,transneo,min,0.7909803921568628,0.035801246478774716
mmil,transneo,mul,0.7113725490196078,0.17762584819053115
mmil,transneo,x10,0.7866666666666667,0.03595127730392682
mmil,transneo,x20,0.7964705882352942,0.034409142157792914
transmil,transneo,concat,0.7529411764705882,0.07313255284025814
transmil,transneo,linear,0.6654901960784314,0.17885152477418287
transmil,transneo,lse,0.7596078431372548,0.12231899981712971
transmil,transneo,max,0.7623529411764707,0.11900738596248123
transmil,transneo,mean,0.7572549019607844,0.1249641753097855
transmil,transneo,min,0.7549019607843137,0.12476985520170891
transmil,transneo,mul,0.7109803921568628,0.1529138012481467
transmil,transneo,x10,0.7713725490196078,0.11540418323130028
transmil,transneo,x20,0.76,0.12826187488101973
