model,val_dataset,method,mean,std
CLAM,TCGA,concat,0.5705945285037444,0.033433077392796995
CLAM,TCGA,linear,0.5716185236130216,0.016349696118657026
CLAM,TCGA,lse,0.538101788170564,0.033536676592104596
CLAM,TCGA,max,0.5375668653522848,0.029502411768698344
CLAM,TCGA,mean,0.5376279993886597,0.030523093238163077
CLAM,TCGA,min,0.5557848081919609,0.023149373564430073
CLAM,TCGA,mul,0.5619593458658108,0.022450573736592438
CLAM,TCGA,x10,0.5049212899281674,0.024476216268841167
CLAM,TCGA,x20,0.5494574354271741,0.021148809396552528
CLAM-Late,TCGA,concat,0.5459422283356259,0.03469498324707858
CLAM-Late,TCGA,linear,0.5453920220082531,0.013197663841620407
CLAM-Late,TCGA,lse,0.5566254011921137,0.029294056922427186
CLAM-Late,TCGA,max,0.5786336542870243,0.02176444199769077
CLAM-Late,TCGA,mean,0.5494727189362678,0.024822602030568682
CLAM-Late,TCGA,min,0.5663915635029804,0.010230556169159516
CLAM-Late,TCGA,mul,0.5840745835243772,0.010065531324566546
CLAM-Late,TCGA,x10,0.5049212899281674,0.024476216268841167
CLAM-Late,TCGA,x20,0.5494574354271741,0.021148809396552528
CSMIL,TCGA,concat,0.46327372764786795,0.04817653633759142
CSMIL,TCGA,linear,0.552842732691426,0.02164783914795973
CSMIL,TCGA,lse,0.4659330582301696,0.042549757774297196
CSMIL,TCGA,max,0.4677059452850374,0.05470408940710634
CSMIL,TCGA,mean,0.4528809414641602,0.040608257777166694
CSMIL,TCGA,min,0.4366957053339447,0.024155042310621568
CSMIL,TCGA,mul,0.4983493810178817,0.013236701264709032
CSMIL,TCGA,x10,0.45036680421824854,0.04553319138718109
CSMIL,TCGA,x20,0.46535228488460956,0.03781101573581828
DSMIL,TCGA,concat,0.5799480360690815,0.0201750296121129
DSMIL,TCGA,linear,0.586535228488461,0.024145047636126186
DSMIL,TCGA,lse,0.5635488308115544,0.02841153230599351
DSMIL,TCGA,max,0.5665291150848235,0.02684216247107788
DSMIL,TCGA,mean,0.5558459422283356,0.03231565392297162
DSMIL,TCGA,min,0.5454837230628152,0.024029151238264757
DSMIL,TCGA,mul,0.5152223750573132,0.02917264305928267
DSMIL,TCGA,x10,0.5634418462478985,0.02574536228554099
DSMIL,TCGA,x20,0.5355952926791991,0.029518959123372695
DTFD,TCGA,concat,0.5362372000611341,0.018497775006214346
DTFD,TCGA,linear,0.5517499617912273,0.018579290055185715
DTFD,TCGA,lse,0.5444444444444445,0.023162240810707356
DTFD,TCGA,max,0.5467675378266851,0.020116417894991637
DTFD,TCGA,mean,0.5444750114626318,0.024848879175397062
DTFD,TCGA,min,0.5343114779153294,0.024227241127646085
DTFD,TCGA,mul,0.46316674308421213,0.01536062363246367
DTFD,TCGA,x10,0.5465841357175607,0.017795216496083132
DTFD,TCGA,x20,0.5130979672932905,0.023151453207549307
MAMIL,TCGA,concat,0.5626471037750267,0.017376243829686958
MAMIL,TCGA,linear,0.563273727647868,0.016737167676006998
MAMIL,TCGA,lse,0.5505884151001069,0.017569943148240647
MAMIL,TCGA,max,0.5545468439553721,0.015558215234718191
MAMIL,TCGA,mean,0.5425340058077335,0.014333183059020076
MAMIL,TCGA,min,0.5337001375515819,0.012268976476950251
MAMIL,TCGA,mul,0.532416322787712,0.01683225651820904
MAMIL,TCGA,x10,0.5462173314993122,0.016383631853438833
MAMIL,TCGA,x20,0.528503744459728,0.014979744897118669
MINET-DS,TCGA,concat,0.5240256762952774,0.009617431373982013
MINET-DS,TCGA,linear,0.5253706250955219,0.016584035487648738
MINET-DS,TCGA,lse,0.5038820113097967,0.010433524795090937
MINET-DS,TCGA,max,0.5062509552193184,0.0102507680302714
MINET-DS,TCGA,mean,0.4966834785266697,0.011822057458608082
MINET-DS,TCGA,min,0.4868561821794284,0.014398303985595547
MINET-DS,TCGA,mul,0.4661928778847623,0.015366840258561809
MINET-DS,TCGA,x10,0.5022772428549594,0.015135424695799446
MINET-DS,TCGA,x20,0.4940699984716491,0.01506510099808564
MMIL,TCGA,concat,0.5757450710683173,0.019539056337779113
MMIL,TCGA,linear,0.5765703805593765,0.02674262304955971
MMIL,TCGA,lse,0.564786795048143,0.021265654181578292
MMIL,TCGA,max,0.5661470273574813,0.020044399704082762
MMIL,TCGA,mean,0.5577258138468593,0.01692430405428534
MMIL,TCGA,min,0.5441999082989455,0.017259022900742514
MMIL,TCGA,mul,0.5524377197004433,0.02159603039833581
MMIL,TCGA,x10,0.5585969738651995,0.015470932920976663
MMIL,TCGA,x20,0.5460950634265627,0.02046335103554938
TransMIL,TCGA,concat,0.5189209842579856,0.018654933471259398
TransMIL,TCGA,linear,0.5110346935656427,0.017888315660446484
TransMIL,TCGA,lse,0.5328136940241479,0.01997003600029001
TransMIL,TCGA,max,0.5311019410056549,0.02153631486264042
TransMIL,TCGA,mean,0.5294207550053492,0.0167939425050832
TransMIL,TCGA,min,0.5205410362219165,0.018077296825296196
TransMIL,TCGA,mul,0.4722298639767691,0.01756396694049562
TransMIL,TCGA,x10,0.5241326608589332,0.01328038349057039
TransMIL,TCGA,x20,0.5227112945132203,0.01736836305869837
