,model,val_dataset,method,mean
0,CLAM,TCGA,concat,2
1,DSMIL,TCGA,concat,2
2,MAMIL,TCGA,concat,2
3,MINET-DS,TCGA,concat,2
4,MMIL,TCGA,concat,2
5,CSMIL,TCGA,concat,6
6,DTFD,TCGA,concat,6
7,CLAM-Late,TCGA,concat,7
8,TransMIL,TCGA,concat,7
9,TransMIL,TCGA,mean,3
10,DTFD,TCGA,mean,4
11,CLAM-Late,TCGA,mean,5
12,DSMIL,TCGA,mean,6
13,MAMIL,TCGA,mean,6
14,MINET-DS,TCGA,mean,6
15,MMIL,TCGA,mean,6
16,CLAM,TCGA,mean,7
17,CSMIL,TCGA,mean,7
18,CLAM-Late,TCGA,mul,1
19,CSMIL,TCGA,mul,2
20,CLAM,TCGA,mul,3
21,MMIL,TCGA,mul,7
22,MAMIL,TCGA,mul,8
23,DSMIL,TCGA,mul,9
24,DTFD,TCGA,mul,9
25,MINET-DS,TCGA,mul,9
26,TransMIL,TCGA,mul,9
27,CLAM,TCGA,x20,5
28,CSMIL,TCGA,x20,5
29,TransMIL,TCGA,x20,5
30,CLAM-Late,TCGA,x20,6
31,MINET-DS,TCGA,x20,7
32,DSMIL,TCGA,x20,8
33,DTFD,TCGA,x20,8
34,MMIL,TCGA,x20,8
35,MAMIL,TCGA,x20,9
36,CLAM,TCGA,linear,1
37,CSMIL,TCGA,linear,1
38,DSMIL,TCGA,linear,1
39,DTFD,TCGA,linear,1
40,MAMIL,TCGA,linear,1
41,MINET-DS,TCGA,linear,1
42,MMIL,TCGA,linear,1
43,CLAM-Late,TCGA,linear,8
44,TransMIL,TCGA,linear,8
45,TransMIL,TCGA,lse,1
46,CLAM-Late,TCGA,lse,4
47,CSMIL,TCGA,lse,4
48,DSMIL,TCGA,lse,4
49,MAMIL,TCGA,lse,4
50,MINET-DS,TCGA,lse,4
51,MMIL,TCGA,lse,4
52,DTFD,TCGA,lse,5
53,CLAM,TCGA,lse,6
54,CLAM-Late,TCGA,max,2
55,DTFD,TCGA,max,2
56,TransMIL,TCGA,max,2
57,CSMIL,TCGA,max,3
58,DSMIL,TCGA,max,3
59,MAMIL,TCGA,max,3
60,MINET-DS,TCGA,max,3
61,MMIL,TCGA,max,3
62,CLAM,TCGA,max,8
63,DTFD,TCGA,x10,3
64,TransMIL,TCGA,x10,4
65,DSMIL,TCGA,x10,5
66,MAMIL,TCGA,x10,5
67,MINET-DS,TCGA,x10,5
68,MMIL,TCGA,x10,5
69,CSMIL,TCGA,x10,8
70,CLAM,TCGA,x10,9
71,CLAM-Late,TCGA,x10,9
72,CLAM-Late,TCGA,min,3
73,CLAM,TCGA,min,4
74,TransMIL,TCGA,min,6
75,DSMIL,TCGA,min,7
76,DTFD,TCGA,min,7
77,MAMIL,TCGA,min,7
78,MINET-DS,TCGA,min,8
79,CSMIL,TCGA,min,9
80,MMIL,TCGA,min,9
