model,val_dataset,method,mean,std
CLAM,TCGA,concat,0.6164756228029955,0.019713449211650327
CLAM,TCGA,linear,0.576692648632126,0.03349914088915353
CLAM,TCGA,lse,0.5963625248357023,0.02598945629565382
CLAM,TCGA,max,0.5972031178358551,0.02596230422662832
CLAM,TCGA,mean,0.600045850527281,0.01230814430409656
CLAM,TCGA,min,0.599312242090784,0.013136717166773951
CLAM,TCGA,mul,0.5735136787406389,0.013533219123502735
CLAM,TCGA,x10,0.5954607977991747,0.027420397669598525
CLAM,TCGA,x20,0.5892251260889501,0.02024051247539421
CLAM-Late,TCGA,concat,0.5794131132508025,0.017587099598546353
CLAM-Late,TCGA,linear,0.579336695705334,0.01638612668346581
CLAM-Late,TCGA,lse,0.5958428855265169,0.01969711708814678
CLAM-Late,TCGA,max,0.6036527586733914,0.015134541557055719
CLAM-Late,TCGA,mean,0.5965000764175454,0.024567175858836603
CLAM-Late,TCGA,min,0.5967751795812319,0.023489255793414796
CLAM-Late,TCGA,mul,0.5685465382851903,0.020956187286254372
CLAM-Late,TCGA,x10,0.5954607977991747,0.027420397669598525
CLAM-Late,TCGA,x20,0.5892251260889501,0.02024051247539421
CSMIL,TCGA,concat,0.5032171786642212,0.017585426400355347
CSMIL,TCGA,linear,0.5921901268531256,0.01886480783431245
CSMIL,TCGA,lse,0.4785419532324622,0.020380107131597908
CSMIL,TCGA,max,0.458077334556014,0.018921645407032516
CSMIL,TCGA,mean,0.48843038361607827,0.02341574585597604
CSMIL,TCGA,min,0.5165749656121046,0.015836713566960415
CSMIL,TCGA,mul,0.5465994192266544,0.012312308246504743
CSMIL,TCGA,x10,0.500534922818279,0.024862323116971844
CSMIL,TCGA,x20,0.4728564878496103,0.014571249442623531
DSMIL,TCGA,concat,0.58217942839676,0.017725913147953624
DSMIL,TCGA,linear,0.570472260430995,0.03837112585522434
DSMIL,TCGA,lse,0.5761577258138468,0.015511368835449523
DSMIL,TCGA,max,0.5733149931224208,0.01657566846950849
DSMIL,TCGA,mean,0.5782668500687758,0.016104786945960292
DSMIL,TCGA,min,0.5856029344337459,0.015381046280993432
DSMIL,TCGA,mul,0.568164450557848,0.02116301567904725
DSMIL,TCGA,x10,0.5686688063579398,0.019036515710081768
DSMIL,TCGA,x20,0.5813541189057008,0.01673477170668503
DTFD,TCGA,concat,0.5937184777624942,0.014814592322812264
DTFD,TCGA,linear,0.561898211829436,0.02007521870878402
DTFD,TCGA,lse,0.6018187375821489,0.018786500595922004
DTFD,TCGA,max,0.5988078862906924,0.019733424489438767
DTFD,TCGA,mean,0.6053950787100718,0.01905173174103443
DTFD,TCGA,min,0.6106831728564879,0.019020591615080792
DTFD,TCGA,mul,0.5546538285190279,0.04006381771482276
DTFD,TCGA,x10,0.6001222680727495,0.01972542627962646
DTFD,TCGA,x20,0.6079779917469051,0.01499550330183726
MAMIL,TCGA,concat,0.5791532935962097,0.017374152599121354
MAMIL,TCGA,linear,0.5732691425951398,0.019184771531473525
MAMIL,TCGA,lse,0.5798104844872383,0.017464124324564758
MAMIL,TCGA,max,0.5750725966681951,0.01784968028944445
MAMIL,TCGA,mean,0.5834938101788171,0.02092976609218948
MAMIL,TCGA,min,0.5904630903255387,0.019511374633521487
MAMIL,TCGA,mul,0.6224361913495339,0.01710011510734187
MAMIL,TCGA,x10,0.5748586275408833,0.017876124037964833
MAMIL,TCGA,x20,0.5891334250343879,0.022716576960248328
MINET-DS,TCGA,concat,0.548143053645117,0.03554840761253185
MINET-DS,TCGA,linear,0.5497172550817668,0.01429056683375525
MINET-DS,TCGA,lse,0.5181568088033013,0.0046480465561949385
MINET-DS,TCGA,max,0.5140608283661929,0.005397889816255734
MINET-DS,TCGA,mean,0.5233073513678741,0.0043017640903937095
MINET-DS,TCGA,min,0.5237047226043099,0.0066985256712941395
MINET-DS,TCGA,mul,0.5371389270976616,0.0063451621106939355
MINET-DS,TCGA,x10,0.4971725508176677,0.013251584850152622
MINET-DS,TCGA,x20,0.5114473483111722,0.0059999318540275
MMIL,TCGA,concat,0.5647103775026746,0.02531362641589639
MMIL,TCGA,linear,0.5603240103927862,0.02536057731876055
MMIL,TCGA,lse,0.5491670487543939,0.020190281023496414
MMIL,TCGA,max,0.5487543940088644,0.0212926154427366
MMIL,TCGA,mean,0.5507259666819502,0.02076423442674185
MMIL,TCGA,min,0.5598196545926946,0.02119061582496201
MMIL,TCGA,mul,0.5289316827143512,0.023412309570664327
MMIL,TCGA,x10,0.5228794131132508,0.025100632461814553
MMIL,TCGA,x20,0.568363136176066,0.018595117511154873
TransMIL,TCGA,concat,0.5462631820265933,0.02160727625403757
TransMIL,TCGA,linear,0.5840898670334709,0.013822551856749646
TransMIL,TCGA,lse,0.5558000917010546,0.013808866377034488
TransMIL,TCGA,max,0.5551123337918387,0.010694197969117063
TransMIL,TCGA,mean,0.5573284426104234,0.01625109735020478
TransMIL,TCGA,min,0.5584441387742626,0.01927789162101235
TransMIL,TCGA,mul,0.5543634418462479,0.01804084299752853
TransMIL,TCGA,x10,0.5346935656426716,0.013806996133704607
TransMIL,TCGA,x20,0.5730704569769218,0.015920497222531284
