model,val_dataset,method,mean
CLAM,TCGA,linear,0.7896935441137508
CLAM,Cohort 1,max,0.7413398692810458
CLAM,Cohort 2,min,0.6857313829787234
CLAM,TransNEO,max,0.7441060606060607
CLAM-Late,TCGA,concat,0.7774794665724631
CLAM-Late,Cohort 1,mul,0.7450490196078431
CLAM-Late,Cohort 2,mean,0.7080053191489362
CLAM-Late,TransNEO,x20,0.7302727272727273
CSMIL,TCGA,linear,0.7324295681356531
CSMIL,Cohort 1,linear,0.6617320261437908
CSMIL,Cohort 2,x10,0.7096808510638298
CSMIL,TransNEO,linear,0.7097424242424243
DSMIL,TCGA,linear,0.759595513556478
DSMIL,Cohort 1,linear,0.6554411764705883
DSMIL,Cohort 2,concat,0.7060106382978724
DSMIL,TransNEO,linear,0.6991666666666667
DTFD,TCGA,linear,0.7428861609114192
DTFD,Cohort 1,linear,0.6344281045751634
DTFD,Cohort 2,min,0.6887632978723405
DTFD,TransNEO,linear,0.7001515151515152
MAMIL,TCGA,concat,0.7345403161706262
MAMIL,Cohort 1,linear,0.6639705882352941
MAMIL,Cohort 2,x10,0.6922406914893617
MAMIL,TransNEO,x20,0.7066363636363636
MINET-DS,TCGA,concat,0.7586946922193765
MINET-DS,Cohort 1,concat,0.6919117647058824
MINET-DS,Cohort 2,linear,0.6655851063829787
MINET-DS,TransNEO,concat,0.7092727272727273
MMIL,TCGA,mul,0.736827695840325
MMIL,Cohort 1,linear,0.6878267973856209
MMIL,Cohort 2,max,0.6521675531914893
MMIL,TransNEO,x20,0.7091212121212122
TransMIL,TCGA,linear,0.7562218493332156
TransMIL,Cohort 1,concat,0.706764705882353
TransMIL,Cohort 2,min,0.6407579787234042
TransMIL,TransNEO,linear,0.6720757575757575
