model,val_dataset,method,mean,std
clam,cohort_1,concat,0.7078104575163399,0.0143234382409107
clam,cohort_1,lse,0.7267156862745099,0.025306496185743
clam,cohort_1,max,0.7413398692810458,0.014837824947381
clam,cohort_1,mean,0.7235784313725491,0.0256351494127582
clam,cohort_1,min,0.7316503267973856,0.0154157812402683
clam,cohort_1,mul,0.7184803921568628,0.0201933064564117
clam,cohort_1,target,0.695702614379085,0.0185931869632288
clam,cohort_1,x10,0.7315032679738562,0.0131794323970041
clam,tcga,concat,0.768215137331096,0.0131604891244993
clam,tcga,lse,0.7714386646648415,0.0145704148162613
clam,tcga,max,0.7794842356266007,0.0134802747894485
clam,tcga,mean,0.7732403073390445,0.0126422412222877
clam,tcga,min,0.7777002561158703,0.009627409830261
clam,tcga,mul,0.774573876181224,0.0077179973810275
clam,tcga,target,0.7559569018811269,0.0108747700028979
clam,tcga,x10,0.7487061732756336,0.0129662405193695
clam,transneo,concat,0.7058636363636365,0.0103915414771829
clam,transneo,lse,0.7290606060606061,0.0103723160534286
clam,transneo,max,0.7441060606060607,0.008548179354011
clam,transneo,mean,0.7216060606060606,0.0109841692579975
clam,transneo,min,0.6907272727272727,0.0112338945925061
clam,transneo,mul,0.6958030303030303,0.0107688445744199
clam,transneo,target,0.7303636363636363,0.0094675620489058
clam,transneo,x10,0.615,0.0087272961092092
clam,cohort_2,concat,0.6449734042553191,0.0147228260384691
clam,cohort_2,lse,0.668843085106383,0.0157971969851107
clam,cohort_2,max,0.6618085106382978,0.0163756277450688
clam,cohort_2,mean,0.6792287234042553,0.0156749271491041
clam,cohort_2,min,0.6857313829787234,0.0155752407978712
clam,cohort_2,mul,0.6404521276595745,0.0188858711532947
clam,cohort_2,target,0.6542686170212766,0.0190243197322026
clam,cohort_2,x10,0.6582047872340425,0.016579560789919
csmil,cohort_1,concat,0.5761764705882353,0.0311766532836528
csmil,cohort_1,lse,0.5723202614379085,0.0301910204291645
csmil,cohort_1,max,0.5789869281045752,0.031007620967078
csmil,cohort_1,mean,0.5690032679738561,0.0283620104418432
csmil,cohort_1,min,0.5593137254901961,0.0246268085942798
csmil,cohort_1,mul,0.5595588235294118,0.0206733967954243
csmil,cohort_1,target,0.5723039215686274,0.0330955078660547
csmil,cohort_1,x10,0.5613071895424836,0.0258309854254736
