,model,val_dataset,method,mean
0,CLAM-Late,TCGA,concat,1
1,DSMIL,Cohort 2,concat,1
2,MAMIL,TCGA,concat,1
3,MINET-DS,Cohort 1,concat,1
4,MINET-DS,TCGA,concat,1
5,MINET-DS,TransNEO,concat,1
6,TransMIL,Cohort 1,concat,1
7,CSMIL,TCGA,concat,2
8,DSMIL,Cohort 1,concat,2
9,DSMIL,TCGA,concat,2
10,DSMIL,TransNEO,concat,2
11,DTFD,Cohort 1,concat,2
12,DTFD,Cohort 2,concat,2
13,DTFD,TCGA,concat,2
14,MAMIL,Cohort 1,concat,2
15,MAMIL,Cohort 2,concat,2
16,MAMIL,TransNEO,concat,2
17,MINET-DS,Cohort 2,concat,2
18,MMIL,TCGA,concat,2
19,MMIL,TransNEO,concat,2
20,TransMIL,TransNEO,concat,2
21,CSMIL,Cohort 1,concat,3
22,DTFD,TransNEO,concat,3
23,MMIL,Cohort 1,concat,3
24,TransMIL,TCGA,concat,3
25,CLAM,TransNEO,concat,5
26,CLAM-Late,Cohort 1,concat,5
27,CSMIL,Cohort 2,concat,6
28,MMIL,Cohort 2,concat,6
29,CLAM,TCGA,concat,7
30,CLAM,Cohort 1,concat,8
31,CLAM,Cohort 2,concat,8
32,CLAM-Late,Cohort 2,concat,8
33,CLAM-Late,TransNEO,concat,8
34,CSMIL,TransNEO,concat,8
35,TransMIL,Cohort 2,concat,8
36,CLAM-Late,Cohort 2,mean,1
37,CLAM,Cohort 2,mean,2
38,CLAM-Late,TCGA,mean,2
39,MMIL,Cohort 2,mean,2
40,CSMIL,Cohort 2,mean,3
41,TransMIL,Cohort 2,mean,3
42,CLAM,TransNEO,mean,4
43,CLAM-Late,TransNEO,mean,4
44,CSMIL,TCGA,mean,4
45,CSMIL,TransNEO,mean,4
46,DSMIL,Cohort 1,mean,4
47,DSMIL,Cohort 2,mean,4
48,MAMIL,Cohort 2,mean,4
49,MINET-DS,Cohort 1,mean,4
50,TransMIL,Cohort 1,mean,4
51,CLAM,TCGA,mean,5
