model,val_dataset,method,mean
clam,tcga,min,0.7777002561158703
clam,cohort_1,min,0.7316503267973856
clam,transneo,target,0.7303636363636363
clam,cohort_2,mean,0.6792287234042553
csmil,tcga,max,0.7089375607171244
csmil,cohort_1,concat,0.5761764705882353
csmil,transneo,min,0.6757727272727273
csmil,cohort_2,min,0.7080585106382979
dsmil,tcga,target,0.7182460478671729
dsmil,cohort_1,target,0.6034558823529412
dsmil,transneo,target,0.6777575757575758
dsmil,cohort_2,min,0.6974335106382978
dtfd,tcga,target,0.7040625275986929
dtfd,cohort_1,target,0.618169934640523
dtfd,transneo,concat,0.6714545454545455
dtfd,cohort_2,concat,0.6875664893617021
mamil,tcga,target,0.7344431687715269
mamil,cohort_1,target,0.6279411764705882
mamil,transneo,concat,0.6922727272727273
mamil,cohort_2,concat,0.690718085106383
minet_ds,tcga,target,0.7142188465954252
minet_ds,cohort_1,min,0.6587418300653595
minet_ds,transneo,target,0.6773484848484849
minet_ds,cohort_2,min,0.6631117021276596
mmil,tcga,concat,0.734964232093968
mmil,cohort_1,concat,0.6664215686274509
mmil,transneo,concat,0.6877878787878788
mmil,cohort_2,mean,0.6471010638297872
transmil,tcga,concat,0.7444935087874238
transmil,cohort_1,lse,0.6798692810457516
transmil,transneo,target,0.646530303030303
transmil,cohort_2,target,0.6392287234042553
