model,val_dataset,method,mean
clam,tcga,mul,0.7628455356354323
clam,transneo,concat,0.6816818181818182
clam,cohort_2,x10,0.6786037234042552
clam,cohort_1,lse,0.70859477124183
csmil,tcga,concat,0.659657334628632
csmil,transneo,concat,0.6648484848484848
csmil,cohort_2,concat,0.6040026595744681
csmil,cohort_1,mul,0.5663071895424836
dsmil,tcga,concat,0.7210103329506314
dsmil,transneo,x10,0.6731818181818181
dsmil,cohort_2,min,0.6936037234042554
dsmil,cohort_1,concat,0.6415196078431372
dtfd,tcga,concat,0.7474079307603991
dtfd,transneo,concat,0.6812878787878788
dtfd,cohort_2,concat,0.6681117021276596
dtfd,cohort_1,concat,0.6486764705882353
mamil,tcga,concat,0.7390090965291883
mamil,transneo,x10,0.6766060606060607
mamil,cohort_2,x10,0.6639893617021276
mamil,cohort_1,concat,0.653235294117647
minet_ds,tcga,concat,0.7505343106950455
minet_ds,transneo,concat,0.6339545454545454
minet_ds,cohort_2,x10,0.6883776595744682
minet_ds,cohort_1,concat,0.6539705882352941
mmil,tcga,x10,0.7503135211516383
mmil,transneo,x20,0.6523636363636364
mmil,cohort_2,x10,0.6965425531914893
mmil,cohort_1,x10,0.6600816993464053
transmil,tcga,min,0.7146339309370309
transmil,transneo,max,0.6257272727272727
transmil,cohort_2,x10,0.6730452127659574
transmil,cohort_1,concat,0.6437908496732027
