,model,val_dataset,method,mean
0,CLAM,TransNEO,concat,1
1,DSMIL,Cohort 1,concat,1
2,DSMIL,TCGA,concat,1
3,DTFD,Cohort 1,concat,1
4,DTFD,TransNEO,concat,1
5,MAMIL,Cohort 1,concat,1
6,MAMIL,TCGA,concat,1
7,MINET-DS,Cohort 1,concat,1
8,MINET-DS,TCGA,concat,1
9,MINET-DS,TransNEO,concat,1
10,TransMIL,Cohort 1,concat,1
11,CLAM-Late,TCGA,concat,2
12,CSMIL,Cohort 2,concat,2
13,CSMIL,TCGA,concat,2
14,CSMIL,TransNEO,concat,2
15,DTFD,Cohort 2,concat,2
16,DTFD,TCGA,concat,2
17,MINET-DS,Cohort 2,concat,2
18,CLAM-Late,Cohort 1,concat,3
19,CSMIL,Cohort 1,concat,3
20,MMIL,Cohort 1,concat,3
21,CLAM,Cohort 2,concat,5
22,CLAM,Cohort 1,concat,6
23,MAMIL,TransNEO,concat,6
24,CLAM-Late,Cohort 2,concat,7
25,DSMIL,Cohort 2,concat,7
26,DSMIL,TransNEO,concat,7
27,MAMIL,Cohort 2,concat,7
28,MMIL,Cohort 2,concat,7
29,TransMIL,Cohort 2,concat,7
30,CLAM,TCGA,concat,8
31,CLAM-Late,TransNEO,concat,8
32,MMIL,TCGA,concat,8
33,MMIL,TransNEO,concat,8
34,TransMIL,TCGA,concat,8
35,TransMIL,TransNEO,concat,9
36,CLAM,Cohort 1,mean,2
37,CLAM,TCGA,mean,2
38,CLAM-Late,Cohort 2,mean,2
39,MMIL,Cohort 2,mean,2
40,CLAM,Cohort 2,mean,3
41,DSMIL,Cohort 2,mean,3
42,DSMIL,TransNEO,mean,3
43,TransMIL,Cohort 2,mean,3
44,TransMIL,TCGA,mean,3
45,CLAM-Late,TransNEO,mean,4
46,DSMIL,Cohort 1,mean,4
47,MAMIL,Cohort 2,mean,4
48,MAMIL,TransNEO,mean,4
49,MINET-DS,Cohort 1,mean,4
50,MMIL,TCGA,mean,4
51,TransMIL,Cohort 1,mean,4
52,TransMIL,TransNEO,mean,4
53,CLAM-Late,TCGA,mean,5
54,DSMIL,TCGA,mean,5
55,DTFD,TransNEO,mean,5
56,MAMIL,TCGA,mean,5
57,MINET-DS,Cohort 2,mean,5
58,MINET-DS,TransNEO,mean,5
59,MMIL,TransNEO,mean,5
60,CLAM,TransNEO,mean,6
61,CLAM-Late,Cohort 1,mean,6
62,CSMIL,Cohort 1,mean,6
63,CSMIL,Cohort 2,mean,6
64,CSMIL,TransNEO,mean,6
65,DTFD,Cohort 1,mean,6
66,DTFD,Cohort 2,mean,6
67,DTFD,TCGA,mean,6
68,MINET-DS,TCGA,mean,6
69,MMIL,Cohort 1,mean,6
70,CSMIL,TCGA,mean,7
71,MAMIL,Cohort 1,mean,7
72,CLAM,TCGA,mul,1
73,CLAM-Late,Cohort 1,mul,2
74,CSMIL,Cohort 1,mul,2
75,DTFD,Cohort 1,mul,2
76,CSMIL,Cohort 2,mul,3
77,MAMIL,Cohort 1,mul,3
78,CSMIL,TCGA,mul,4
79,MINET-DS,Cohort 2,mul,4
80,CLAM,Cohort 1,mul,5
81,DTFD,Cohort 2,mul,5
82,CLAM-Late,Cohort 2,mul,6
83,CLAM-Late,TCGA,mul,6
84,CLAM-Late,TransNEO,mul,6
85,TransMIL,TransNEO,mul,7
86,CLAM,Cohort 2,mul,8
87,CLAM,TransNEO,mul,9
88,CSMIL,TransNEO,mul,9
89,DSMIL,Cohort 1,mul,9
90,DSMIL,Cohort 2,mul,9
91,DSMIL,TCGA,mul,9
92,DSMIL,TransNEO,mul,9
93,DTFD,TCGA,mul,9
94,DTFD,TransNEO,mul,9
95,MAMIL,Cohort 2,mul,9
96,MAMIL,TCGA,mul,9
97,MAMIL,TransNEO,mul,9
98,MINET-DS,Cohort 1,mul,9
99,MINET-DS,TCGA,mul,9
100,MINET-DS,TransNEO,mul,9
101,MMIL,Cohort 1,mul,9
102,MMIL,Cohort 2,mul,9
103,MMIL,TCGA,mul,9
104,MMIL,TransNEO,mul,9
105,TransMIL,Cohort 1,mul,9
106,TransMIL,Cohort 2,mul,9
107,TransMIL,TCGA,mul,9
108,MMIL,TransNEO,x20,1
109,CLAM,Cohort 2,x20,2
110,TransMIL,Cohort 1,x20,2
111,MINET-DS,TransNEO,x20,4
112,CLAM-Late,Cohort 2,x20,5
113,CLAM-Late,TransNEO,x20,5
114,DSMIL,TransNEO,x20,5
115,MINET-DS,Cohort 1,x20,5
116,TransMIL,TransNEO,x20,5
117,DSMIL,Cohort 2,x20,6
118,MAMIL,Cohort 2,x20,6
119,MMIL,Cohort 2,x20,6
120,MMIL,TCGA,x20,6
121,TransMIL,Cohort 2,x20,6
122,TransMIL,TCGA,x20,6
123,CLAM,TransNEO,x20,7
124,CLAM-Late,TCGA,x20,7
125,DSMIL,Cohort 1,x20,7
126,DSMIL,TCGA,x20,7
127,MINET-DS,TCGA,x20,7
128,MMIL,Cohort 1,x20,7
129,CLAM,Cohort 1,x20,8
130,CLAM-Late,Cohort 1,x20,8
131,CSMIL,Cohort 1,x20,8
132,CSMIL,TransNEO,x20,8
133,DTFD,TCGA,x20,8
134,DTFD,TransNEO,x20,8
135,MAMIL,TCGA,x20,8
136,MAMIL,TransNEO,x20,8
137,CLAM,TCGA,x20,9
138,CSMIL,Cohort 2,x20,9
139,CSMIL,TCGA,x20,9
140,DTFD,Cohort 1,x20,9
141,DTFD,Cohort 2,x20,9
142,MAMIL,Cohort 1,x20,9
143,MINET-DS,Cohort 2,x20,9
144,CLAM-Late,Cohort 1,linear,1
145,CLAM-Late,TCGA,linear,1
146,CSMIL,Cohort 1,linear,1
147,CSMIL,Cohort 2,linear,1
148,CSMIL,TCGA,linear,1
149,CSMIL,TransNEO,linear,1
150,DTFD,Cohort 2,linear,1
151,DTFD,TCGA,linear,1
152,MMIL,Cohort 1,linear,1
153,CLAM-Late,TransNEO,linear,2
154,DTFD,TransNEO,linear,2
155,MAMIL,Cohort 1,linear,2
156,MAMIL,TCGA,linear,2
157,MINET-DS,TransNEO,linear,2
158,MMIL,TransNEO,linear,2
159,CLAM,Cohort 1,linear,3
160,CLAM,TCGA,linear,3
161,DSMIL,Cohort 1,linear,3
162,DSMIL,TCGA,linear,3
163,DTFD,Cohort 1,linear,3
164,MAMIL,TransNEO,linear,3
165,MINET-DS,TCGA,linear,3
166,CLAM,TransNEO,linear,5
167,MMIL,TCGA,linear,5
168,DSMIL,TransNEO,linear,6
169,MINET-DS,Cohort 1,linear,7
170,TransMIL,TCGA,linear,7
171,DSMIL,Cohort 2,linear,8
172,MAMIL,Cohort 2,linear,8
173,MINET-DS,Cohort 2,linear,8
174,MMIL,Cohort 2,linear,8
175,TransMIL,Cohort 1,linear,8
176,TransMIL,Cohort 2,linear,8
177,TransMIL,TransNEO,linear,8
178,CLAM,Cohort 2,linear,9
179,CLAM-Late,Cohort 2,linear,9
180,CLAM,Cohort 1,lse,1
181,CLAM,TransNEO,lse,2
182,DSMIL,Cohort 1,lse,2
183,DSMIL,TransNEO,lse,2
184,MAMIL,Cohort 2,lse,2
185,TransMIL,Cohort 2,lse,2
186,MMIL,Cohort 2,lse,3
187,MMIL,TCGA,lse,3
