model,val_dataset,method,mean
CLAM,TCGA,mean,0.7618122405722865
CLAM,Cohort 1,mean,0.7083823529411764
CLAM,Cohort 2,x20,0.6563962765957447
CLAM,TransNEO,lse,0.6788181818181818
CLAM-Late,TCGA,concat,0.7510377108540138
CLAM-Late,Cohort 1,mul,0.6980555555555557
CLAM-Late,Cohort 2,mean,0.6730984042553192
CLAM-Late,TransNEO,linear,0.6723939393939393
CSMIL,TCGA,concat,0.659657334628632
CSMIL,Cohort 1,mul,0.5663071895424836
CSMIL,Cohort 2,concat,0.6040026595744681
CSMIL,TransNEO,concat,0.6648484848484848
DSMIL,TCGA,max,0.7148635520621743
DSMIL,Cohort 1,lse,0.5949019607843138
DSMIL,Cohort 2,x10,0.6913829787234043
DSMIL,TransNEO,lse,0.6692575757575757
DTFD,TCGA,concat,0.7474079307603991
DTFD,Cohort 1,mul,0.6465359477124183
DTFD,Cohort 2,concat,0.6681117021276596
DTFD,TransNEO,linear,0.6807272727272727
MAMIL,TCGA,linear,0.7354411375077277
MAMIL,Cohort 1,linear,0.6308496732026143
MAMIL,Cohort 2,lse,0.6558643617021277
MAMIL,TransNEO,max,0.6720757575757575
MINET-DS,TCGA,x10,0.7425064028967588
MINET-DS,Cohort 1,x10,0.6538725490196079
MINET-DS,Cohort 2,concat,0.6630053191489361
MINET-DS,TransNEO,linear,0.630439393939394
MMIL,TCGA,max,0.7406341075686655
MMIL,Cohort 1,x10,0.6600816993464053
MMIL,Cohort 2,mean,0.6669946808510638
MMIL,TransNEO,linear,0.6492575757575757
TransMIL,TCGA,x10,0.712805793517619
TransMIL,Cohort 1,x20,0.6408823529411765
TransMIL,Cohort 2,lse,0.6659973404255319
TransMIL,TransNEO,x10,0.6251363636363637
