model,val_dataset,method,mean,std
clam,transneo,concat,0.5977777777777777,0.06593563529555915
clam,transneo,linear,0.5107407407407407,0.12089250478736534
clam,transneo,lse,0.6418518518518519,0.03539788428505222
clam,transneo,max,0.6492592592592592,0.029837235646107855
clam,transneo,mean,0.5844444444444445,0.05739877805845056
clam,transneo,min,0.5644444444444444,0.054968087345558025
clam,transneo,mul,0.5407407407407407,0.11777027177986982
clam,transneo,x10,0.5403703703703704,0.09756133294978067
clam,transneo,x20,0.5077777777777778,0.15288168308536762
clam_late,transneo,concat,0.5777777777777777,0.037931583940091905
clam_late,transneo,linear,0.5700000000000001,0.07886657077221046
clam_late,transneo,lse,0.58,0.04848567983657712
clam_late,transneo,max,0.5303703703703704,0.05930553748517956
clam_late,transneo,mean,0.5855555555555555,0.04795624943083686
clam_late,transneo,min,0.6062962962962963,0.023492500432881435
clam_late,transneo,mul,0.5855555555555555,0.03782898167939715
clam_late,transneo,x10,0.6,0.05915628913931325
clam_late,transneo,x20,0.6048148148148148,0.09797601179556521
csmil,transneo,concat,0.5140740740740741,0.031850894808093035
csmil,transneo,linear,0.5888888888888889,0.092419591467718
csmil,transneo,lse,0.5118518518518518,0.016728281171312906
csmil,transneo,max,0.4988888888888889,0.01581500274558017
csmil,transneo,mean,0.5181481481481482,0.013348185600765911
csmil,transneo,min,0.5285185185185185,0.013187358215532382
csmil,transneo,mul,0.6051851851851852,0.05851383009816742
csmil,transneo,x10,0.5277777777777778,0.005856069741052554
csmil,transneo,x20,0.5192592592592592,0.0075702270206202335
dsmil,transneo,concat,0.5555555555555556,0.09725699946286981
dsmil,transneo,linear,0.5866666666666667,0.03625512067748671
dsmil,transneo,lse,0.6366666666666666,0.01433906904516998
dsmil,transneo,max,0.6566666666666666,0.01512534631683137
dsmil,transneo,mean,0.6422222222222221,0.015039449217620803
dsmil,transneo,min,0.6466666666666666,0.028000479016957774
dsmil,transneo,mul,0.44185185185185183,0.07468982755293534
dsmil,transneo,x10,0.6485185185185185,0.013461885998552055
dsmil,transneo,x20,0.638888888888889,0.026145455042651092
dtfd,transneo,concat,0.6663352826510721,0.013775806990955186
dtfd,transneo,linear,0.5944444444444444,0.06229982423229698
dtfd,transneo,lse,0.5922222222222222,0.028976862988076935
dtfd,transneo,max,0.5955555555555556,0.03543016297890946
dtfd,transneo,mean,0.5985185185185184,0.02573119105207513
dtfd,transneo,min,0.6003703703703703,0.0174986663110143
dtfd,transneo,mul,0.4211111111111111,0.028797470633564717
dtfd,transneo,x10,0.5829629629629629,0.02297756073902585
dtfd,transneo,x20,0.6029629629629629,0.028889944055859276
mamil,transneo,concat,0.5885185185185186,0.04527515834782042
mamil,transneo,linear,0.5611111111111111,0.1105782834686896
mamil,transneo,lse,0.5418518518518518,0.05217564978145804
mamil,transneo,max,0.5562962962962963,0.08097109135059831
mamil,transneo,mean,0.542962962962963,0.09618860708476114
mamil,transneo,min,0.5511111111111111,0.0880758426691497
mamil,transneo,mul,0.5837037037037037,0.06193053323282515
mamil,transneo,x10,0.5574074074074075,0.07376995182186326
mamil,transneo,x20,0.5318518518518518,0.07876504508593342
minet_ds,transneo,concat,0.5814814814814815,0.08938476227110102
minet_ds,transneo,linear,0.6662962962962963,0.05773370694441037
minet_ds,transneo,lse,0.5574074074074075,0.12560173713967576
minet_ds,transneo,max,0.5496296296296297,0.149797404208401
minet_ds,transneo,mean,0.5562962962962963,0.11191478893207146
minet_ds,transneo,min,0.5844444444444444,0.09501842849038071
minet_ds,transneo,mul,0.5814814814814815,0.03298861534787011
minet_ds,transneo,x10,0.5088888888888888,0.12999009259610647
minet_ds,transneo,x20,0.5529629629629629,0.13512795451289794
mmil,transneo,concat,0.5496296296296296,0.07505929170833782
mmil,transneo,linear,0.6707407407407407,0.025567779029341157
mmil,transneo,lse,0.6085185185185185,0.06275807865541157
mmil,transneo,max,0.6051851851851852,0.06386905519062773
mmil,transneo,mean,0.6107407407407407,0.06049256738421197
mmil,transneo,min,0.617037037037037,0.055739065914162805
mmil,transneo,mul,0.6255555555555555,0.05399594107140983
mmil,transneo,x10,0.624074074074074,0.03955436874963155
mmil,transneo,x20,0.6107407407407408,0.07218686482831764
transmil,transneo,concat,0.6355555555555555,0.051177269760124884
transmil,transneo,linear,0.5474074074074073,0.03237299760505505
transmil,transneo,lse,0.6237037037037038,0.021110750123258314
transmil,transneo,max,0.6274074074074074,0.020450646163801166
transmil,transneo,mean,0.6222222222222222,0.02187659894650543
transmil,transneo,min,0.6140740740740741,0.02430562904162903
transmil,transneo,mul,0.554074074074074,0.03313613364813983
transmil,transneo,x10,0.6411111111111112,0.014758121977549282
transmil,transneo,x20,0.6048148148148147,0.040423380456706355
