,model,val_dataset,method,mean
0,dtfd,transneo,concat,1
1,mamil,transneo,concat,1
2,transmil,transneo,concat,2
3,clam,transneo,concat,3
4,minet_ds,transneo,concat,3
5,clam_late,transneo,concat,7
6,csmil,transneo,concat,7
7,dsmil,transneo,concat,8
8,mmil,transneo,concat,9
9,clam,transneo,mean,4
10,clam_late,transneo,mean,4
11,dsmil,transneo,mean,4
12,dtfd,transneo,mean,4
13,transmil,transneo,mean,5
14,csmil,transneo,mean,6
15,minet_ds,transneo,mean,6
16,mmil,transneo,mean,6
17,mamil,transneo,mean,7
18,csmil,transneo,mul,1
19,mamil,transneo,mul,2
20,mmil,transneo,mul,2
21,minet_ds,transneo,mul,3
22,clam_late,transneo,mul,4
23,clam,transneo,mul,6
24,transmil,transneo,mul,8
25,dsmil,transneo,mul,9
26,dtfd,transneo,mul,9
27,clam_late,transneo,x20,2
28,dtfd,transneo,x20,2
29,csmil,transneo,x20,5
30,dsmil,transneo,x20,5
31,mmil,transneo,x20,5
32,minet_ds,transneo,x20,7
33,transmil,transneo,x20,7
34,clam,transneo,x20,9
35,mamil,transneo,x20,9
36,minet_ds,transneo,linear,1
37,mmil,transneo,linear,1
38,csmil,transneo,linear,2
39,mamil,transneo,linear,3
40,dtfd,transneo,linear,6
41,dsmil,transneo,linear,7
42,clam,transneo,linear,8
43,clam_late,transneo,linear,8
44,transmil,transneo,linear,9
45,clam,transneo,lse,2
46,transmil,transneo,lse,4
47,minet_ds,transneo,lse,5
48,clam_late,transneo,lse,6
49,dsmil,transneo,lse,6
50,dtfd,transneo,lse,7
51,mmil,transneo,lse,7
52,csmil,transneo,lse,8
53,mamil,transneo,lse,8
54,clam,transneo,max,1
55,dsmil,transneo,max,1
56,transmil,transneo,max,3
57,dtfd,transneo,max,5
58,mamil,transneo,max,5
59,minet_ds,transneo,max,8
60,mmil,transneo,max,8
61,clam_late,transneo,max,9
62,csmil,transneo,max,9
63,transmil,transneo,x10,1
64,dsmil,transneo,x10,2
65,clam_late,transneo,x10,3
66,mmil,transneo,x10,3
67,csmil,transneo,x10,4
68,mamil,transneo,x10,4
69,clam,transneo,x10,7
70,dtfd,transneo,x10,8
71,minet_ds,transneo,x10,9
72,clam_late,transneo,min,1
73,minet_ds,transneo,min,2
74,csmil,transneo,min,3
75,dsmil,transneo,min,3
76,dtfd,transneo,min,3
77,mmil,transneo,min,4
78,clam,transneo,min,5
79,mamil,transneo,min,6
80,transmil,transneo,min,6
